name,price,description,specifications
Грунт-эмаль аэрозольная Kudo для пластика RAL 9003 Белая 0.52 л,330,"['Бренд: Kudo', 'Страна производителя: РОССИЯ', 'Цвет: белый']","{""Тип работ"": ""внутренние работы / наружные работы"", ""Способ нанесения"": ""через форсунку баллона"", ""Тип поверхности"": ""пластик / ПВХ"", ""Колеровка"": ""готовый цвет"", ""Состав,"": ""полиолефиновые смолы"", ""Бренд"": ""Kudo"", ""Страна производителя"": ""РОССИЯ"", ""Цвет"": ""белый"", ""Артикул"": ""KU-6003"", ""Время полного высыхания (ч)"": ""2"", ""Время высыхания на отлип, (ч)"": ""20 минут"", ""Расход (1 слой), (г/кв.м)"": ""примерно 2 м.кв/баллон"", ""Температура применения, (град. C)"": ""не ниже +10"", ""Рекомендованное количество слоев покрытия"": ""1-2""}"
Эмаль аэрозольная Kudo для ванн и керамики белый,330,"['Бренд: Kudo', 'Страна производителя: РОССИЯ', 'Цвет: белый']","{""Область применения"": ""для сантехнических приборов"", ""Степень блеска поверхности"": ""глянцевая"", ""Тип поверхности"": ""керамика / металл"", ""Колеровка"": ""готовый цвет"", ""Состав,"": ""алкидный"", ""Готовность к применению"": ""готов к применению"", ""Бренд"": ""Kudo"", ""Страна производителя"": ""РОССИЯ"", ""Цвет"": ""белый"", ""Артикул"": ""KU-1301"", ""Способ нанесения"": ""через форсунку баллона"", ""Время полного высыхания (ч)"": ""24"", ""Время высыхания на отлип, (ч)"": ""2"", ""Расход (1 слой), (г/кв.м)"": ""примерно 2 м.кв/баллон"", ""Температура применения, (град. C)"": ""не ниже +10"", ""Рекомендованное количество слоев покрытия"": ""2-3"", ""Время высыхания между слоями (ч)"": ""15 минут"", ""Поверхность готова к нагрузке (ч)"": ""72""}"
Грунт-эмаль яхтная EXPRESSO RAL7040 серая 1.9 кг,1 480,"['Бренд: EXPRESSO', 'Страна производителя: РОССИЯ', 'Цвет: серый']","{""Тип работ"": ""внутренние работы / наружные работы"", ""Область применения"": ""для защиты и окраски цветных металлов / для защиты металла в агрессивной среде / для защиты бетонных поверхностей в агрессивной среде"", ""Степень блеска поверхности"": ""матовая"", ""Тип поверхности"": ""алюминий / дерево / пластик / ПВХ / минеральные поверхности / металл"", ""Колеровка"": ""готовый цвет"", ""Готовность к применению"": ""готов к применению"", ""Бренд"": ""EXPRESSO"", ""Страна производителя"": ""РОССИЯ"", ""Цвет"": ""серый"", ""Разбавитель (растворитель)"": ""ксилол"", ""Способ нанесения"": ""кисть / валик / безвоздушное"", ""Время полного высыхания (ч)"": ""4"", ""Расход (1 слой), (г/кв.м)"": ""300-350"", ""Температура применения, (град. C)"": ""от -20"", ""Рекомендованное количество слоев покрытия"": ""2-3"", ""Время высыхания между слоями (ч)"": ""2"", ""Поверхность готова к нагрузке (ч)"": ""72"", ""Фасовка, (кг)"": ""1.9""}"
Грунт-эмаль яхтная EXPRESSO RAL9016 белая 1.9 кг,1 480,"['Бренд: EXPRESSO', 'Страна производителя: РОССИЯ', 'Цвет: белый']","{""Тип работ"": ""внутренние работы / наружные работы"", ""Область применения"": ""для защиты и окраски цветных металлов / для защиты металла в агрессивной среде / для защиты бетонных поверхностей в агрессивной среде"", ""Степень блеска поверхности"": ""матовая"", ""Тип поверхности"": ""алюминий / дерево / пластик / ПВХ / минеральные поверхности / металл"", ""Колеровка"": ""готовый цвет"", ""Готовность к применению"": ""готов к применению"", ""Бренд"": ""EXPRESSO"", ""Страна производителя"": ""РОССИЯ"", ""Цвет"": ""белый"", ""Разбавитель (растворитель)"": ""ксилол"", ""Способ нанесения"": ""кисть / валик / безвоздушное"", ""Время полного высыхания (ч)"": ""4"", ""Расход (1 слой), (г/кв.м)"": ""300-350"", ""Температура применения, (град. C)"": ""от -20"", ""Рекомендованное количество слоев покрытия"": ""2-3"", ""Время высыхания между слоями (ч)"": ""2"", ""Поверхность готова к нагрузке (ч)"": ""72"", ""Фасовка, (кг)"": ""1.9""}"
Лак паркетный EUROTEX Premium Бесцветный глянцевый (2.5л),1 665,"['Бренд: Eurotex', 'Страна производителя: РОССИЯ', 'Цвет: бесцветный']","{""Тип работ"": ""внутренние работы"", ""Степень блеска поверхности"": ""глянцевая"", ""Вид покрытия"": ""оставляет природный рисунок древесины"", ""Колеровка"": ""ручная / автоматическая / готовый цвет"", ""Состав,"": ""алкидный"", ""Готовность к применению"": ""готов к применению"", ""Бренд"": ""Eurotex"", ""Страна производителя"": ""РОССИЯ"", ""Цвет"": ""бесцветный"", ""Разбавитель (растворитель)"": ""уайт-спирит"", ""Способ нанесения"": ""кисть / валик / краскораспылитель"", ""Время полного высыхания (ч)"": ""96"", ""Температура применения, (град. C)"": ""от+5"", ""Рекомендованное количество слоев покрытия"": ""2-3"", ""Расход (1 слой), (кв.м/л)"": ""9-13"", ""Время высыхания между слоями (ч)"": ""5"", ""Тип поверхности"": ""дерево / ДВП / ДСП"", ""Фасовка (л)"": ""2.5""}"
Лак паркетный Tikkurila LACQUER PARQUET полуматовый бесцветный база EP (0.9л),1 549,"['Выбор фасовки: маленькая, до 3л(кг)', 'Бренд: Tikkurila', 'Страна производителя: ФИНЛЯНДИЯ']","{""Тип работ"": ""внутренние работы"", ""Область применения"": ""для паркета / для полов / для мебели"", ""Степень блеска поверхности"": ""полуматовая"", ""Вид покрытия"": ""оставляет природный рисунок древесины"", ""Защита от УФ-излучения (солнца)"": ""нет"", ""Колеровка"": ""да"", ""Состав,"": ""алкидно-уретановый"", ""Готовность к применению"": ""готов к применению"", ""Выбор фасовки"": ""маленькая, до 3л(кг)"", ""Бренд"": ""Tikkurila"", ""Страна производителя"": ""ФИНЛЯНДИЯ"", ""Цвет"": ""бесцветный"", ""Разбавитель (растворитель)"": ""уайт-спирит Lakkabensiini 1050"", ""Способ нанесения"": ""кисть / валик / краскораспылитель / аппликатор"", ""Время полного высыхания (ч)"": ""6"", ""Температура применения, (град. C)"": ""не ниже +5"", ""Рекомендованное количество слоев покрытия"": ""2-3"", ""Расход (1 слой), (кв.м/л)"": ""12-14"", ""Время высыхания между слоями (ч)"": ""6"", ""Защита от плесени, грибка"": ""нет"", ""Тип поверхности"": ""дерево / ДВП / ДСП / паркет"", ""Фасовка (л)"": ""0.9""}"
Эмаль полиуретановая универсальная Symphony WINNER 10514 шелковисто-матовая база A белая (0.9л),1 299,"['Бренд: Symphony', 'Страна производителя: РОССИЯ', 'Цвет: белый']","{""Тип работ"": ""внутренние работы / наружные работы"", ""Область применения"": ""для защиты бетонных поверхностей / для радиаторов отопления / универсальная / для мебели / окна"", ""Степень блеска поверхности"": ""шелковисто матовая"", ""Вид покрытия"": ""оставляет природный рисунок древесины"", ""Защита от УФ-излучения (солнца)"": ""нет"", ""Колеровка"": ""да"", ""Состав,"": ""полиуритановый"", ""Готовность к применению"": ""готов к применению"", ""Бренд"": ""Symphony"", ""Страна производителя"": ""РОССИЯ"", ""Цвет"": ""белый"", ""Разбавитель (растворитель)"": ""уайт-спирит"", ""Артикул"": ""10514"", ""Способ нанесения"": ""кисть / валик / краскораспылитель"", ""Время полного высыхания (ч)"": ""3-5"", ""Температура применения, (град. C)"": ""выше +5"", ""Рекомендованное количество слоев покрытия"": ""1-2"", ""Расход (1 слой), (кв.м/л)"": ""7-12"", ""Время высыхания между слоями (ч)"": ""24"", ""Защита от плесени, грибка"": ""нет"", ""Тип поверхности"": ""бетон / дерево / ДВП / ДСП / металл"", ""Фасовка (л)"": ""0.9"", ""Базис"": ""A""}"
Краска резиновая Dali для кровли цоколя фасада (База А) белый 6 кг,2 226,"['Состав,: акриловый', 'Бренд: Dali', 'Страна производителя: РОССИЯ']","{""Степень блеска поверхности"": ""глубокоматовая"", ""Тип поверхности"": ""кирпич / бетон / дерево / ДВП / ДСП / минеральные поверхности / оштукатуренная поверхность / металл / ГКЛ"", ""Колеровка"": ""ручная / автоматическая / готовый цвет"", ""Состав,"": ""акриловый"", ""Тип работ"": ""внутренние работы / наружные работы"", ""Бренд"": ""Dali"", ""Страна производителя"": ""РОССИЯ"", ""Цвет"": ""белый"", ""Разбавитель (растворитель)"": ""вода"", ""Способ нанесения"": ""кисть / валик / краскораспылитель"", ""Время полного высыхания (ч)"": ""24"", ""Время высыхания на отлип, (ч)"": ""0.25"", ""Расход (1 слой), (г/кв.м)"": ""100"", ""Температура применения, (град. C)"": ""от +10"", ""Рекомендованное количество слоев покрытия"": ""2"", ""Время высыхания первого слоя (ч)"": ""1"", ""Базис"": ""A"", ""Фасовка, (кг)"": ""6""}"
Краска для фасадов особопрочная DALI белая матовая - 2.5 л,1 444,"['Степень блеска поверхности: матовая', 'Состав,: акриловый', 'Тип поверхности: минеральные поверхности']","{""Степень блеска поверхности"": ""матовая"", ""Защита от плесени, грибка"": ""да"", ""Колеровка"": ""ручная / автоматическая / готовый цвет"", ""Тип поверхности"": ""минеральные поверхности"", ""Срок службы,"": ""10 лет"", ""Тип работ"": ""внутренние работы / наружные работы"", ""Бренд"": ""Dali"", ""Страна производителя"": ""РОССИЯ"", ""Цвет"": ""белый"", ""Состав,"": ""акриловый"", ""Разбавитель (растворитель)"": ""вода"", ""Способ нанесения"": ""кисть / валик / краскораспылитель"", ""Время полного высыхания (ч)"": ""2"", ""Рекомендованное количество слоев покрытия"": ""2"", ""Расход (1 слой), (кв.м/л)"": ""12"", ""Время высыхания между слоями (ч)"": ""1"", ""Фасовка (л)"": ""2.5"", ""Базис"": ""A""}"
Краска резиновая Dali для кровли цоколя фасада (База А) белый 3 кг,1 449,"['Состав,: акриловый', 'Бренд: Dali', 'Страна производителя: РОССИЯ']","{""Степень блеска поверхности"": ""глубокоматовая"", ""Тип поверхности"": ""кирпич / бетон / дерево / ДВП / ДСП / минеральные поверхности / оштукатуренная поверхность / металл / ГКЛ"", ""Колеровка"": ""ручная / автоматическая / готовый цвет"", ""Состав,"": ""акриловый"", ""Тип работ"": ""внутренние работы / наружные работы"", ""Бренд"": ""Dali"", ""Страна производителя"": ""РОССИЯ"", ""Цвет"": ""белый"", ""Разбавитель (растворитель)"": ""вода"", ""Способ нанесения"": ""кисть / валик / краскораспылитель"", ""Время полного высыхания (ч)"": ""24"", ""Время высыхания на отлип, (ч)"": ""0.25"", ""Расход (1 слой), (г/кв.м)"": ""100"", ""Температура применения, (град. C)"": ""от +10"", ""Рекомендованное количество слоев покрытия"": ""2"", ""Время высыхания первого слоя (ч)"": ""1"", ""Базис"": ""A"", ""Фасовка, (кг)"": ""3""}"
